data,cambio,desemprego,ipca,pib,selic
2021-04-12,5.6582,,,,2.75
2021-04-13,5.7064,,,,2.75
2021-04-14,5.6936,,,,2.75
2021-04-15,5.6234,,,,2.75
2021-04-16,5.6328,,,,2.75
2021-04-17,,,,,2.75
2021-04-18,,,,,2.75
2021-04-19,5.575,,,,2.75
2021-04-20,5.5266,,,,2.75
2021-04-21,,,,,2.75
2021-04-22,5.497,,,,2.75
2021-04-23,5.4787,,,,2.75
2021-04-24,,,,,2.75
2021-04-25,,,,,2.75
2021-04-26,5.4566,,,,2.75
2021-04-27,5.4424,,,,2.75
2021-04-28,5.4005,,,,2.75
2021-04-29,5.3662,,,,2.75
2021-04-30,5.4036,,,,2.75
2021-05-01,,14.7,0.83,731545.8,2.75
2021-05-02,,,,,2.75
2021-05-03,5.4087,,,,2.75
2021-05-04,5.4505,,,,2.75
2021-05-05,5.3872,,,,2.75
2021-05-06,5.2897,,,,3.5
2021-05-07,5.2217,,,,3.5
2021-05-08,,,,,3.5
2021-05-09,,,,,3.5
2021-05-10,5.2227,,,,3.5
2021-05-11,5.2403,,,,3.5
2021-05-12,5.2353,,,,3.5
2021-05-13,5.2815,,,,3.5
2021-05-14,5.2701,,,,3.5
2021-05-15,,,,,3.5
2021-05-16,,,,,3.5
2021-05-17,5.2755,,,,3.5
2021-05-18,5.2588,,,,3.5
2021-05-19,5.2822,,,,3.5
2021-05-20,5.2905,,,,3.5
2021-05-21,5.3027,,,,3.5
2021-05-22,,,,,3.5
2021-05-23,,,,,3.5
2021-05-24,5.3198,,,,3.5
2021-05-25,5.3143,,,,3.5
2021-05-26,5.3164,,,,3.5
2021-05-27,5.284,,,,3.5
2021-05-28,5.2281,,,,3.5
2021-05-29,,,,,3.5
2021-05-30,,,,,3.5
2021-05-31,5.2322,,,,3.5
2021-06-01,5.1636,14.2,0.53,734421.7,3.5
2021-06-02,5.1147,,,,3.5
2021-06-03,,,,,3.5
2021-06-04,5.0666,,,,3.5
2021-06-05,,,,,3.5
2021-06-06,,,,,3.5
2021-06-07,5.0498,,,,3.5
2021-06-08,5.0489,,,,3.5
2021-06-09,5.0533,,,,3.5
2021-06-10,5.0635,,,,3.5
2021-06-11,5.119,,,,3.5
2021-06-12,,,,,3.5
2021-06-13,,,,,3.5
2021-06-14,5.0707,,,,3.5
2021-06-15,5.0874,,,,3.5
2021-06-16,5.0207,,,,3.5
2021-06-17,5.0359,,,,4.25
2021-06-18,5.0314,,,,4.25
2021-06-19,,,,,4.25
2021-06-20,,,,,4.25
2021-06-21,5.0373,,,,4.25
2021-06-22,5.0178,,,,4.25
2021-06-23,4.9519,,,,4.25
2021-06-24,4.9277,,,,4.25
2021-06-25,4.9206,,,,4.25
2021-06-26,,,,,4.25
2021-06-27,,,,,4.25
2021-06-28,4.942,,,,4.25
2021-06-29,4.945,,,,4.25
2021-06-30,5.0022,,,,4.25
2021-07-01,5.0055,13.7,0.96,765622.8,4.25
2021-07-02,5.0293,,,,4.25
2021-07-03,,,,,4.25
2021-07-04,,,,,4.25
2021-07-05,5.0749,,,,4.25
2021-07-06,5.1645,,,,4.25
2021-07-07,5.2328,,,,4.25
2021-07-08,5.2587,,,,4.25
2021-07-09,5.2393,,,,4.25
2021-07-10,,,,,4.25
2021-07-11,,,,,4.25
2021-07-12,5.2239,,,,4.25
2021-07-13,5.177,,,,4.25
2021-07-14,5.088,,,,4.25
2021-07-15,5.1,,,,4.25
2021-07-16,5.0941,,,,4.25
2021-07-17,,,,,4.25
2021-07-18,,,,,4.25
2021-07-19,5.1978,,,,4.25
2021-07-20,5.2465,,,,4.25
2021-07-21,5.2516,,,,4.25
2021-07-22,5.1978,,,,4.25
2021-07-23,5.1701,,,,4.25
2021-07-24,,,,,4.25
2021-07-25,,,,,4.25
2021-07-26,5.1863,,,,4.25
2021-07-27,5.1669,,,,4.25
2021-07-28,5.1527,,,,4.25
2021-07-29,5.0682,,,,4.25
2021-07-30,5.1216,,,,4.25
2021-07-31,,,,,4.25
2021-08-01,,13.2,0.87,767729.7,4.25
2021-08-02,5.1379,,,,4.25
2021-08-03,5.2464,,,,4.25
2021-08-04,5.2091,,,,4.25
2021-08-05,5.1464,,,,5.25
2021-08-06,5.241,,,,5.25
2021-08-07,,,,,5.25
2021-08-08,,,,,5.25
2021-08-09,5.2774,,,,5.25
2021-08-10,5.2217,,,,5.25
2021-08-11,5.2013,,,,5.25
2021-08-12,5.2351,,,,5.25
2021-08-13,5.2474,,,,5.25
2021-08-14,,,,,5.25
2021-08-15,,,,,5.25
2021-08-16,5.2495,,,,5.25
2021-08-17,5.2585,,,,5.25
2021-08-18,5.3025,,,,5.25
2021-08-19,5.418,,,,5.25
2021-08-20,5.4274,,,,5.25
2021-08-21,,,,,5.25
2021-08-22,,,,,5.25
2021-08-23,5.3686,,,,5.25
2021-08-24,5.3017,,,,5.25
2021-08-25,5.2465,,,,5.25
2021-08-26,5.2429,,,,5.25
2021-08-27,5.22,,,,5.25
2021-08-28,,,,,5.25
2021-08-29,,,,,5.25
2021-08-30,5.1952,,,,5.25
2021-08-31,5.1433,,,,5.25
2021-09-01,5.1576,12.7,1.16,762498.5,5.25
2021-09-02,5.1735,,,,5.25
2021-09-03,5.1685,,,,5.25
2021-09-04,,,,,5.25
2021-09-05,,,,,5.25
2021-09-06,5.1773,,,,5.25
2021-09-07,,,,,5.25
2021-09-08,5.2524,,,,5.25
2021-09-09,5.2825,,,,5.25
2021-09-10,5.2158,,,,5.25
2021-09-11,,,,,5.25
2021-09-12,,,,,5.25
2021-09-13,5.219,,,,5.25
2021-09-14,5.226,,,,5.25
2021-09-15,5.2576,,,,5.25
2021-09-16,5.2594,,,,5.25
2021-09-17,5.3103,,,,5.25
2021-09-18,,,,,5.25
2021-09-19,,,,,5.25
2021-09-20,5.3332,,,,5.25
2021-09-21,5.3044,,,,5.25
2021-09-22,5.2783,,,,5.25
2021-09-23,5.2891,,,,6.25
2021-09-24,5.3435,,,,6.25
2021-09-25,,,,,6.25
2021-09-26,,,,,6.25
2021-09-27,5.3478,,,,6.25
2021-09-28,5.4206,,,,6.25
2021-09-29,5.4173,,,,6.25
2021-09-30,5.4394,,,,6.25
2021-10-01,5.3911,12.1,1.25,772600.0,6.25
2021-10-02,,,,,6.25
2021-10-03,,,,,6.25
2021-10-04,5.4204,,,,6.25
2021-10-05,5.4611,,,,6.25
2021-10-06,5.5097,,,,6.25
2021-10-07,5.514,,,,6.25
2021-10-08,5.5084,,,,6.25
2021-10-09,,,,,6.25
2021-10-10,,,,,6.25
2021-10-11,5.5161,,,,6.25
2021-10-12,,,,,6.25
2021-10-13,5.5471,,,,6.25
2021-10-14,5.4988,,,,6.25
2021-10-15,5.451,,,,6.25
2021-10-16,,,,,6.25
2021-10-17,,,,,6.25
2021-10-18,5.5193,,,,6.25
2021-10-19,5.5521,,,,6.25
2021-10-20,5.5571,,,,6.25
2021-10-21,5.6423,,,,6.25
2021-10-22,5.7117,,,,6.25
2021-10-23,,,,,6.25
2021-10-24,,,,,6.25
2021-10-25,5.5973,,,,6.25
2021-10-26,5.58,,,,6.25
2021-10-27,5.5667,,,,6.25
2021-10-28,5.6124,,,,7.75
2021-10-29,5.643,,,,7.75
2021-10-30,,,,,7.75
2021-10-31,,,,,7.75
2021-11-01,5.6694,11.6,0.95,788256.3,7.75
2021-11-02,,,,,7.75
2021-11-03,5.6672,,,,7.75
2021-11-04,5.5942,,,,7.75
2021-11-05,5.5455,,,,7.75
2021-11-06,,,,,7.75
2021-11-07,,,,,7.75
2021-11-08,5.5627,,,,7.75
2021-11-09,5.4957,,,,7.75
2021-11-10,5.459,,,,7.75
2021-11-11,5.4171,,,,7.75
2021-11-12,5.4199,,,,7.75
2021-11-13,,,,,7.75
2021-11-14,,,,,7.75
2021-11-15,,,,,7.75
2021-11-16,5.4772,,,,7.75
2021-11-17,5.4993,,,,7.75
2021-11-18,5.547,,,,7.75
2021-11-19,5.5584,,,,7.75
2021-11-20,,,,,7.75
2021-11-21,,,,,7.75
2021-11-22,5.5841,,,,7.75
2021-11-23,5.6456,,,,7.75
2021-11-24,5.6027,,,,7.75
2021-11-25,5.574,,,,7.75
2021-11-26,5.5865,,,,7.75
2021-11-27,,,,,7.75
2021-11-28,,,,,7.75
2021-11-29,5.6118,,,,7.75
2021-11-30,5.6199,,,,7.75
2021-12-01,5.6168,11.1,0.73,795125.7,7.75
2021-12-02,5.6345,,,,7.75
2021-12-03,5.6432,,,,7.75
2021-12-04,,,,,7.75
2021-12-05,,,,,7.75
2021-12-06,5.6877,,,,7.75
2021-12-07,5.6411,,,,7.75
2021-12-08,5.5779,,,,7.75
2021-12-09,5.5564,,,,9.25
2021-12-10,5.5931,,,,9.25
2021-12-11,,,,,9.25
2021-12-12,,,,,9.25
2021-12-13,5.6357,,,,9.25
2021-12-14,5.6461,,,,9.25
2021-12-15,5.7127,,,,9.25
2021-12-16,5.6963,,,,9.25
2021-12-17,5.6959,,,,9.25
2021-12-18,,,,,9.25
2021-12-19,,,,,9.25
2021-12-20,5.7055,,,,9.25
2021-12-21,5.7372,,,,9.25
2021-12-22,5.7201,,,,9.25
2021-12-23,5.691,,,,9.25
2021-12-24,5.6591,,,,9.25
2021-12-25,,,,,9.25
2021-12-26,,,,,9.25
2021-12-27,5.665,,,,9.25
2021-12-28,5.6438,,,,9.25
2021-12-29,5.6619,,,,9.25
2021-12-30,5.5805,,,,9.25
2021-12-31,5.5805,,,,9.25
2022-01-01,,11.2,0.54,723753.6,9.25
2022-01-02,,,,,9.25
2022-01-03,5.6309,,,,9.25
2022-01-04,5.6776,,,,9.25
2022-01-05,5.6628,,,,9.25
2022-01-06,5.7042,,,,9.25
2022-01-07,5.6753,,,,9.25
2022-01-08,,,,,9.25
2022-01-09,,,,,9.25
2022-01-10,5.6736,,,,9.25
2022-01-11,5.6351,,,,9.25
2022-01-12,5.5611,,,,9.25
2022-01-13,5.5246,,,,9.25
2022-01-14,5.5349,,,,9.25
2022-01-15,,,,,9.25
2022-01-16,,,,,9.25
2022-01-17,5.5058,,,,9.25
2022-01-18,5.5213,,,,9.25
2022-01-19,5.4978,,,,9.25
2022-01-20,5.4166,,,,9.25
2022-01-21,5.4401,,,,9.25
2022-01-22,,,,,9.25
2022-01-23,,,,,9.25
2022-01-24,5.491,,,,9.25
2022-01-25,5.4971,,,,9.25
2022-01-26,5.4324,,,,9.25
2022-01-27,5.3812,,,,9.25
2022-01-28,5.3954,,,,9.25
2022-01-29,,,,,9.25
2022-01-30,,,,,9.25
2022-01-31,5.3574,,,,9.25
2022-02-01,5.281,11.2,1.01,753468.2,9.25
2022-02-02,5.2956,,,,9.25
2022-02-03,5.3025,,,,10.75
2022-02-04,5.3284,,,,10.75
2022-02-05,,,,,10.75
2022-02-06,,,,,10.75
2022-02-07,5.2913,,,,10.75
2022-02-08,5.2699,,,,10.75
2022-02-09,5.2735,,,,10.75
2022-02-10,5.2101,,,,10.75
2022-02-11,5.1987,,,,10.75
2022-02-12,,,,,10.75
2022-02-13,,,,,10.75
2022-02-14,5.2106,,,,10.75
2022-02-15,5.1881,,,,10.75
2022-02-16,5.163,,,,10.75
2022-02-17,5.1565,,,,10.75
2022-02-18,5.1339,,,,10.75
2022-02-19,,,,,10.75
2022-02-20,,,,,10.75
2022-02-21,5.0997,,,,10.75
2022-02-22,5.0611,,,,10.75
2022-02-23,5.0143,,,,10.75
2022-02-24,5.1174,,,,10.75
2022-02-25,5.1394,,,,10.75
2022-02-26,,,,,10.75
2022-02-27,,,,,10.75
2022-02-28,,,,,10.75
2022-03-01,,11.1,1.62,842306.4,10.75
2022-03-02,5.1347,,,,10.75
2022-03-03,5.0479,,,,10.75
2022-03-04,5.0758,,,,10.75
2022-03-05,,,,,10.75
2022-03-06,,,,,10.75
2022-03-07,5.0579,,,,10.75
2022-03-08,5.0903,,,,10.75
2022-03-09,5.0094,,,,10.75
2022-03-10,5.0513,,,,10.75
2022-03-11,5.0255,,,,10.75
2022-03-12,,,,,10.75
2022-03-13,,,,,10.75
2022-03-14,5.0647,,,,10.75
2022-03-15,5.1314,,,,10.75
2022-03-16,5.1287,,,,10.75
2022-03-17,5.0764,,,,11.75
2022-03-18,5.0411,,,,11.75
2022-03-19,,,,,11.75
2022-03-20,,,,,11.75
2022-03-21,4.9666,,,,11.75
2022-03-22,4.9208,,,,11.75
2022-03-23,4.8704,,,,11.75
2022-03-24,4.8067,,,,11.75
2022-03-25,4.7782,,,,11.75
2022-03-26,,,,,11.75
2022-03-27,,,,,11.75
2022-03-28,4.7905,,,,11.75
2022-03-29,4.7486,,,,11.75
2022-03-30,4.7497,,,,11.75
2022-03-31,4.7378,,,,11.75
2022-04-01,4.6984,10.5,1.06,832164.1,11.75
2022-04-02,,,,,11.75
2022-04-03,,,,,11.75
2022-04-04,4.6175,,,,11.75
2022-04-05,4.64,,,,11.75
2022-04-06,4.6967,,,,11.75
2022-04-07,4.7422,,,,11.75
2022-04-08,4.7513,,,,11.75
2022-04-09,,,,,11.75
2022-04-10,,,,,11.75
2022-04-11,4.7025,,,,11.75
2022-04-12,4.6483,,,,11.75
2022-04-13,4.6811,,,,11.75
2022-04-14,4.7158,,,,11.75
2022-04-15,,,,,11.75
2022-04-16,,,,,11.75
2022-04-17,,,,,11.75
2022-04-18,4.6746,,,,11.75
2022-04-19,4.6664,,,,11.75
2022-04-20,4.6397,,,,11.75
2022-04-21,,,,,11.75
2022-04-22,4.7326,,,,11.75
2022-04-23,,,,,11.75
2022-04-24,,,,,11.75
2022-04-25,4.8818,,,,11.75
2022-04-26,4.9666,,,,11.75
2022-04-27,5.0167,,,,11.75
2022-04-28,5.011,,,,11.75
2022-04-29,4.9191,,,,11.75
2022-04-30,,,,,11.75
2022-05-01,,9.8,0.47,841829.7,11.75
2022-05-02,5.0266,,,,11.75
2022-05-03,5.0167,,,,11.75
2022-05-04,5.0093,,,,11.75
2022-05-05,5.0051,,,,12.75
2022-05-06,5.075,,,,12.75
2022-05-07,,,,,12.75
2022-05-08,,,,,12.75
2022-05-09,5.134,,,,12.75
2022-05-10,5.139,,,,12.75
2022-05-11,5.1244,,,,12.75
2022-05-12,5.1482,,,,12.75
2022-05-13,5.1075,,,,12.75
2022-05-14,,,,,12.75
2022-05-15,,,,,12.75
2022-05-16,5.0666,,,,12.75
2022-05-17,4.9676,,,,12.75
2022-05-18,4.9592,,,,12.75
2022-05-19,4.9198,,,,12.75
2022-05-20,4.8777,,,,12.75
2022-05-21,,,,,12.75
2022-05-22,,,,,12.75
2022-05-23,4.7973,,,,12.75
2022-05-24,4.8106,,,,12.75
2022-05-25,4.8359,,,,12.75
2022-05-26,4.7967,,,,12.75
2022-05-27,4.7434,,,,12.75
2022-05-28,,,,,12.75
2022-05-29,,,,,12.75
2022-05-30,4.7216,,,,12.75
2022-05-31,4.7289,,,,12.75
2022-06-01,4.7765,9.3,0.67,843487.6,12.75
2022-06-02,4.7879,,,,12.75
2022-06-03,4.7956,,,,12.75
2022-06-04,,,,,12.75
2022-06-05,,,,,12.75
2022-06-06,4.7839,,,,12.75
2022-06-07,4.8909,,,,12.75
2022-06-08,4.8711,,,,12.75
2022-06-09,4.8951,,,,12.75
2022-06-10,4.9836,,,,12.75
2022-06-11,,,,,12.75
2022-06-12,,,,,12.75
2022-06-13,5.1033,,,,12.75
2022-06-14,5.1203,,,,12.75
2022-06-15,5.1119,,,,12.75
2022-06-16,,,,,13.25
2022-06-17,5.1313,,,,13.25
2022-06-18,,,,,13.25
2022-06-19,,,,,13.25
2022-06-20,5.1641,,,,13.25
2022-06-21,5.1462,,,,13.25
2022-06-22,5.1509,,,,13.25
2022-06-23,5.1833,,,,13.25
2022-06-24,5.2334,,,,13.25
2022-06-25,,,,,13.25
2022-06-26,,,,,13.25
2022-06-27,5.2214,,,,13.25
2022-06-28,5.2179,,,,13.25
2022-06-29,5.2268,,,,13.25
2022-06-30,5.238,,,,13.25
2022-07-01,5.3142,9.1,-0.68,869096.4,13.25
2022-07-02,,,,,13.25
2022-07-03,,,,,13.25
2022-07-04,5.3038,,,,13.25
2022-07-05,5.3899,,,,13.25
2022-07-06,5.4321,,,,13.25
2022-07-07,5.364,,,,13.25
2022-07-08,5.3086,,,,13.25
2022-07-09,,,,,13.25
2022-07-10,,,,,13.25
2022-07-11,5.3477,,,,13.25
2022-07-12,5.412,,,,13.25
2022-07-13,5.3992,,,,13.25
2022-07-14,5.4568,,,,13.25
2022-07-15,5.4014,,,,13.25
2022-07-16,,,,,13.25
2022-07-17,,,,,13.25
2022-07-18,5.3675,,,,13.25
2022-07-19,5.3904,,,,13.25
2022-07-20,5.4288,,,,13.25
2022-07-21,5.475,,,,13.25
2022-07-22,5.4522,,,,13.25
2022-07-23,,,,,13.25
2022-07-24,,,,,13.25
2022-07-25,5.4144,,,,13.25
2022-07-26,5.3608,,,,13.25
2022-07-27,5.3074,,,,13.25
2022-07-28,5.2149,,,,13.25
2022-07-29,5.1884,,,,13.25
2022-07-30,,,,,13.25
2022-07-31,,,,,13.25
2022-08-01,5.1606,8.9,-0.36,873997.9,13.25
2022-08-02,5.2329,,,,13.25
2022-08-03,5.2846,,,,13.25
2022-08-04,5.2409,,,,13.75
2022-08-05,5.2165,,,,13.75
2022-08-06,,,,,13.75
2022-08-07,,,,,13.75
2022-08-08,5.1247,,,,13.75
2022-08-09,5.1224,,,,13.75
2022-08-10,5.0497,,,,13.75
2022-08-11,5.1127,,,,13.75
2022-08-12,5.1023,,,,13.75
2022-08-13,,,,,13.75
2022-08-14,,,,,13.75
2022-08-15,5.0925,,,,13.75
2022-08-16,5.134,,,,13.75
2022-08-17,5.1784,,,,13.75
2022-08-18,5.1773,,,,13.75
2022-08-19,5.1961,,,,13.75
2022-08-20,,,,,13.75
2022-08-21,,,,,13.75
2022-08-22,5.1709,,,,13.75
2022-08-23,5.103,,,,13.75
2022-08-24,5.105,,,,13.75
2022-08-25,5.1173,,,,13.75
2022-08-26,5.0903,,,,13.75
2022-08-27,,,,,13.75
2022-08-28,,,,,13.75
2022-08-29,5.0428,,,,13.75
2022-08-30,5.0617,,,,13.75
2022-08-31,5.179,,,,13.75
2022-09-01,5.2007,8.7,-0.29,858087.6,13.75
2022-09-02,5.1878,,,,13.75
2022-09-03,,,,,13.75
2022-09-04,,,,,13.75
2022-09-05,5.1686,,,,13.75
2022-09-06,5.2228,,,,13.75
2022-09-07,,,,,13.75
2022-09-08,5.2155,,,,13.75
2022-09-09,5.1633,,,,13.75
2022-09-10,,,,,13.75
2022-09-11,,,,,13.75
2022-09-12,5.1183,,,,13.75
2022-09-13,5.1794,,,,13.75
2022-09-14,5.1774,,,,13.75
2022-09-15,5.2211,,,,13.75
2022-09-16,5.2882,,,,13.75
2022-09-17,,,,,13.75
2022-09-18,,,,,13.75
2022-09-19,5.2367,,,,13.75
2022-09-20,5.1705,,,,13.75
2022-09-21,5.1692,,,,13.75
2022-09-22,5.1677,,,,13.75
2022-09-23,5.2257,,,,13.75
2022-09-24,,,,,13.75
2022-09-25,,,,,13.75
2022-09-26,5.3548,,,,13.75
2022-09-27,5.3508,,,,13.75
2022-09-28,5.3594,,,,13.75
2022-09-29,5.3916,,,,13.75
2022-09-30,5.4066,,,,13.75
2022-10-01,,8.3,0.59,880490.9,13.75
2022-10-02,,,,,13.75
2022-10-03,5.2002,,,,13.75
2022-10-04,5.1411,,,,13.75
2022-10-05,5.2144,,,,13.75
2022-10-06,5.2009,,,,13.75
2022-10-07,5.2221,,,,13.75
2022-10-08,,,,,13.75
2022-10-09,,,,,13.75
2022-10-10,5.1941,,,,13.75
2022-10-11,5.2068,,,,13.75
2022-10-12,,,,,13.75
2022-10-13,5.3017,,,,13.75
2022-10-14,5.2824,,,,13.75
2022-10-15,,,,,13.75
2022-10-16,,,,,13.75
2022-10-17,5.2713,,,,13.75
2022-10-18,5.2697,,,,13.75
2022-10-19,5.2808,,,,13.75
2022-10-20,5.2176,,,,13.75
2022-10-21,5.1919,,,,13.75
2022-10-22,,,,,13.75
2022-10-23,,,,,13.75
2022-10-24,5.2744,,,,13.75
2022-10-25,5.3091,,,,13.75
2022-10-26,5.3248,,,,13.75
2022-10-27,5.3003,,,,13.75
2022-10-28,5.3454,,,,13.75
2022-10-29,,,,,13.75
2022-10-30,,,,,13.75
2022-10-31,5.257,,,,13.75
2022-11-01,5.15,8.1,0.41,880772.7,13.75
2022-11-02,,,,,13.75
2022-11-03,5.1349,,,,13.75
2022-11-04,5.036,,,,13.75
2022-11-05,,,,,13.75
2022-11-06,,,,,13.75
2022-11-07,5.0886,,,,13.75
2022-11-08,5.1744,,,,13.75
2022-11-09,5.1629,,,,13.75
2022-11-10,5.3064,,,,13.75
2022-11-11,5.3051,,,,13.75
2022-11-12,,,,,13.75
2022-11-13,,,,,13.75
2022-11-14,5.3013,,,,13.75
2022-11-15,,,,,13.75
2022-11-16,5.3204,,,,13.75
2022-11-17,5.4655,,,,13.75
2022-11-18,5.3477,,,,13.75
2022-11-19,,,,,13.75
2022-11-20,,,,,13.75
2022-11-21,5.3259,,,,13.75
2022-11-22,5.3339,,,,13.75
2022-11-23,5.393,,,,13.75
2022-11-24,5.3149,,,,13.75
2022-11-25,5.3508,,,,13.75
2022-11-26,,,,,13.75
2022-11-27,,,,,13.75
2022-11-28,5.3796,,,,13.75
2022-11-29,5.3076,,,,13.75
2022-11-30,5.2941,,,,13.75
2022-12-01,5.1948,7.9,0.62,880221.5,13.75
2022-12-02,5.1974,,,,13.75
2022-12-03,,,,,13.75
2022-12-04,,,,,13.75
2022-12-05,5.2464,,,,13.75
2022-12-06,5.2396,,,,13.75
2022-12-07,5.2208,,,,13.75
2022-12-08,5.2091,,,,13.75
2022-12-09,5.2396,,,,13.75
2022-12-10,,,,,13.75
2022-12-11,,,,,13.75
2022-12-12,5.3066,,,,13.75
2022-12-13,5.2669,,,,13.75
2022-12-14,5.3406,,,,13.75
2022-12-15,5.3183,,,,13.75
2022-12-16,5.2806,,,,13.75
2022-12-17,,,,,13.75
2022-12-18,,,,,13.75
2022-12-19,5.316,,,,13.75
2022-12-20,5.2427,,,,13.75
2022-12-21,5.2031,,,,13.75
2022-12-22,5.1871,,,,13.75
2022-12-23,5.1445,,,,13.75
2022-12-24,,,,,13.75
2022-12-25,,,,,13.75
2022-12-26,5.1872,,,,13.75
2022-12-27,5.2832,,,,13.75
